minute,cpu_usage,cpu_smoothed
14,20.290402702,486.42720598894005
15,2340.914931853,510.60030143719996
16,23.069767649,510.0600696027999
17,16.63472956,509.8536146007999
18,20.21911959,484.2257902707999
19,37.547805922,487.67727091480003
20,2276.262401269,474.746764798
21,24.214033067,474.9756178816
22,22.010430049,476.0507579794001
23,118.704914907,495.74791704280005
24,80.005677743,504.23949140699995
25,2932.40490284,635.4679917212
26,18.54723543,634.3346321938
27,32.51564772,636.435675728
28,22.68653478,617.2319997026
29,19.955180748,605.2219003036
30,2734.607340594,565.6623878544
31,16.75469514,565.3038797964
32,21.407141091,563.0821784706001
33,20.23098952,562.5910694186
34,20.396163421,562.6792659532
35,2640.603781139,543.8785540622
36,421.8964763294,624.90691030008
37,246.5399386477,669.9334698114201
38,25.74819343,671.03691059342
39,18.62908318,670.68349454522
40,2658.295041396,674.22174659662
41,66.0355462707,603.0495605848799
42,72.831268731,568.3078266015401
43,19.85091332,567.1283705795402
44,26.00669514,568.6038929715401
45,2322.569623626,501.45880941754
46,28.70041295,493.9917827534001
47,29.785811441,485.38269129540004
48,18.190867886,485.05068220860005
49,13.04239571,482.4578223226
50,2331.402923091,484.2244822156
51,17.457549042,481.975909434
52,14.02871837,478.82449081979996
53,13.49919153,477.88615554859996
54,13.38583738,477.9548438826
55,2512.069559235,514.0881711114
56,13.25867984,513.2483972709999
57,26.01771319,515.6461962349999
58,13.21622807,515.589603543
59,57.59206117,524.430848301
60,2705.482790571,563.1134945681999
61,9.19892486,562.3015435722
62,11.87328164,559.4726572622001
63,10.686591095,558.9667298672
64,17.336263067,550.9155702465999
65,2626.406300237,535.1002721798
66,17.928857753,536.8462587584
67,17.65979711,538.0035618524
68,20.128041738,539.891851981
69,16.229572122,539.670513792
70,2499.079249293,514.2051036032
71,17.388065762,514.096945205
72,15.022160378,513.5694178585999
73,72.68056229,524.079921969
74,12.452230861,523.3244537168
75,2369.1461196747,497.33782779314
76,19.99458553,497.85913174674
77,15.425450321,497.93978973534
78,16.43864333,486.69140594333993
79,16.89607704,487.58017517914004
80,2184.372969906,450.62554522540006
81,124.56983043,471.5405942054
82,32.030459461,474.8615960334
83,41.45559497,479.86498636140004
84,14.485737883,479.38291853
85,2136.351596026,469.77864375400003
86,16.539244771,448.17252662220005
87,13.346001885,444.43563510700005
88,14.491929361,439.04290198520005
89,13.863598659,438.9184741404
90,1998.734705694,411.395096074
91,17.167914754999998,411.5208300708
92,19.6498258837,412.78159487054
93,20.15795117,413.91479923234
94,22.66522222,415.6751239445401
95,1960.5023327817,408.02864936208005
96,23.03085647,409.20123770507996
97,112.18292109,427.7078567463401
98,15.02930011,426.68212653434
99,16.92851888,425.53478586634003
100,2038.062497391,441.0468187882
101,16.60626246,439.76189998620004
102,21.11974574,421.5492649162
103,29.46090643,424.43558618020006
104,20.04025723,425.0579338502001
105,1983.639199767,414.17327432540003
106,15.65331407,413.98268464740005
107,18.84927997,413.52859149340003
108,17.2684937,411.09010894740004
109,18.67997276,410.8180520534
110,2061.832841156,426.45678033120004
111,20.399560526,427.4060296224
112,49.614893556,433.55915233959996
113,80.928794307,446.29121246099993
114,21.854940771,446.92620606319997
115,2219.641368459,478.4879115238
116,24.75638792,479.3592770026
117,18.45429322,473.12715693539997
118,28.52230556,462.64585918599994
119,19.06894667,462.0886603657999
120,2198.069441682,457.77427501039995
121,20.560094668,456.9350163599999
122,20.128530207,457.2698637574
123,19.148340541,455.39507075359995
124,19.459307751,455.47314296979994
125,2159.928372408,447.8449291149999
126,29.870649833,449.70704014799986
127,19.59897475,449.6011290565999
128,23.672082933,450.50587753499997
129,20.405278133,450.6950716113999
130,2273.94976487,473.4993501037999
131,29.194082166,473.3640365703999
132,27.197991463,474.88383991299986
133,21.13426243,474.37627581239985
134,16.34277738,473.5637756617999
135,2255.560262829,469.8858752535999
136,97.929154491,483.6328897185999
137,40.82632377,486.3585561799999
138,23.237604179999998,486.77922452999985
139,23.095011368,488.12967132759985
140,2311.555486485,499.3287160587999
141,16.11763214,482.96641158859984
142,15.47419015,477.8959848645999
143,50.56380743,483.36122551459994
144,54.86819276,489.71586179299993
145,2161.712451786,459.74725485319993
146,54.96729247,467.51718691919996
147,22.3424473557,468.89083836033996
148,21.267060327,463.0314889397399
149,18.33928536,455.72570745973997
150,2136.530471877,450.6893114779399
151,20.56780724,443.80941443193996
152,15.508211,442.4425671607999
153,13.12357959,440.8138710134
154,15.344069750000001,440.2148278913999
155,2099.815525121,432.8718385402
156,14.333908496,431.6250587913999
157,17.46086893,432.0155903774
158,19.05764872,433.20240420339996
159,14.27108138,432.98780652939996
160,2110.450875525,435.11487661019993
161,18.71454534,435.9910039789999
162,23.77664011,437.2541582149999
163,17.78840329,437.00030912899985
164,16.635479977,437.4731888483999
165,2042.011040511,423.7852218455999
166,12.62486893,422.5672865635999
167,10.568753595,419.9257092605999
168,10.78841826,418.52571225459997
169,20.36559968,419.2717361951999
170,2023.002862081,415.4701005092
171,21.89387867,417.3239024571999
172,21.202188615,419.4505894611999
173,15.0702734,420.3069604891999
174,12.036801937,418.6412009405999
175,2154.625920406,444.9658126056
176,11.86390258,442.95981738759986
177,14.25030131,441.5694399265998
178,74.29505604,453.41439645459997
179,21.24577461,455.25619098919987
180,2278.897640594,480.1105350267999
181,11.91677417,480.1211093447999
182,13.71524966,480.01409901479985
183,15.994123293,468.35391246539984
184,13.580569301999999,466.8208714037999
185,2168.27732121,444.69680752699986
186,12.17042745,444.74753818299985
187,10.859090988,444.1763064485999
188,11.152945916,443.2080709731998
189,11.1110229,442.71416169279985
190,2201.142505038,449.28719845839976
191,12.75791042,449.4046950523998
192,11.543378268,449.5415525083998
193,11.607573783,449.6324780817998
194,13.3371593337,450.0777053685398
195,2205.9972225427,451.0486488694798
196,15.101747555,451.51741629647984
